"Gene","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_021342655.1","GCA_021534865.1","GCA_021697815.1","GCA_021890555.1"
"ssnA","putative aminohydrolase SsnA","4","4","1.0","1329","1329","1329.0","GCA_021342655.1-NZ_JAJTPH010000011.1-258-cds-WP_000906266.1","GCA_021534865.1-NZ_CP091038.1-4445-cds-WP_000906252.1","GCA_021697815.1-NZ_JAJPUS010000005.1-4445-cds-WP_000906286.1","GCA_021890555.1-NZ_JAKLOD010000001.1-990-cds-WP_000906276.1"
"ygfM","molybdopterin-dependent oxidoreductase FAD-binding subunit","4","4","1.0","780","780","780.0","GCA_021342655.1-NZ_JAJTPH010000011.1-259-cds-WP_000572441.1","GCA_021534865.1-NZ_CP091038.1-4444-cds-WP_000572462.1","GCA_021697815.1-NZ_JAJPUS010000005.1-4446-cds-WP_001357606.1","GCA_021890555.1-NZ_JAKLOD010000001.1-989-cds-WP_000572462.1"
"ghxQ","guanine/hypoxanthine transporter GhxQ","4","4","1.0","1368","1368","1368.0","GCA_021342655.1-NZ_JAJTPH010000011.1-263-cds-WP_000012167.1","GCA_021534865.1-NZ_CP091038.1-4440-cds-WP_000012145.1","GCA_021697815.1-NZ_JAJPUS010000005.1-4450-cds-WP_000012163.1","GCA_021890555.1-NZ_JAKLOD010000001.1-985-cds-WP_000012163.1"
"ghxP","guanine/hypoxanthine transporter GhxP","4","4","1.0","1350","1350","1350.0","GCA_021342655.1-NZ_JAJTPH010000019.1-1226-cds-WP_000106892.1","GCA_021534865.1-NZ_CP091038.1-3142-cds-WP_000106882.1","GCA_021697815.1-NZ_JAJPUS010000008.1-5110-cds-WP_000106892.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4318-cds-WP_000106882.1"
"ygfS","4Fe-4S dicluster domain-containing protein","4","4","1.0","489","489","489.0","GCA_021342655.1-NZ_JAJTPH010000011.1-264-cds-WP_000838415.1","GCA_021534865.1-NZ_CP091038.1-4439-cds-WP_000838422.1","GCA_021697815.1-NZ_JAJPUS010000005.1-4451-cds-WP_000838435.1","GCA_021890555.1-NZ_JAKLOD010000001.1-984-cds-WP_000838428.1"
"ygfT","formate-dependent uric acid utilization protein YgfT","4","4","1.0","1920","1920","1920.0","GCA_021342655.1-NZ_JAJTPH010000011.1-265-cds-WP_001363023.1","GCA_021534865.1-NZ_CP091038.1-4438-cds-WP_001300605.1","GCA_021697815.1-NZ_JAJPUS010000005.1-4452-cds-WP_022646088.1","GCA_021890555.1-NZ_JAKLOD010000001.1-983-cds-WP_001345944.1"
"groups_851","hypothetical protein","4","4","1.0","126","126","126.0","GCA_021342655.1-NZ_JAJTPH010000011.1-267-cds-WP_001050745.1","GCA_021534865.1-NZ_CP091038.1-4436-cds-WP_001050745.1","GCA_021697815.1-NZ_JAJPUS010000005.1-4454-cds-WP_001050745.1","GCA_021890555.1-NZ_JAKLOD010000001.1-981-cds-WP_001010156.1"
"idi","isopentenyl-diphosphate Delta-isomerase","4","4","1.0","549","549","549.0","GCA_021342655.1-NZ_JAJTPH010000011.1-269-cds-WP_001192798.1","GCA_021534865.1-NZ_CP091038.1-4434-cds-WP_001192790.1","GCA_021697815.1-NZ_JAJPUS010000005.1-4456-cds-WP_001192796.1","GCA_021890555.1-NZ_JAKLOD010000001.1-979-cds-WP_001192814.1"
"dsbC","bifunctional protein-disulfide isomerase/oxidoreductase DsbC","4","4","1.0","711","711","711.0","GCA_021342655.1-NZ_JAJTPH010000011.1-275-cds-WP_000715230.1","GCA_021534865.1-NZ_CP091038.1-4428-cds-WP_000715214.1","GCA_021697815.1-NZ_JAJPUS010000005.1-4462-cds-WP_000715222.1","GCA_021890555.1-NZ_JAKLOD010000001.1-973-cds-WP_000715214.1"
"yqfB","N(4)-acetylcytidine aminohydrolase","4","4","1.0","312","312","312.0","GCA_021342655.1-NZ_JAJTPH010000011.1-282-cds-WP_001182956.1","GCA_021534865.1-NZ_CP091038.1-4421-cds-WP_001182954.1","GCA_021697815.1-NZ_JAJPUS010000005.1-4469-cds-WP_001182953.1","GCA_021890555.1-NZ_JAKLOD010000001.1-966-cds-WP_001182954.1"
"ubiI","FAD-dependent 2-octaprenylphenol hydroxylase","4","4","1.0","1203","1203","1203.0","GCA_021342655.1-NZ_JAJTPH010000011.1-288-cds-WP_001192133.1","GCA_021534865.1-NZ_CP091038.1-4414-cds-WP_001192229.1","GCA_021697815.1-NZ_JAJPUS010000005.1-4475-cds-WP_001192175.1","GCA_021890555.1-NZ_JAKLOD010000001.1-959-cds-WP_001192185.1"
"groups_856","LysR substrate-binding domain-containing protein, hypothetical protein","3","3","1.0","231","231","231.0","GCA_021342655.1-NZ_JAJTPH010000011.1-298-cds-WP_000545308.1","GCA_021534865.1-NZ_CP091038.1-4404-cds-WP_001322018.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-948-cds-WP_001307386.1"
"scpC","propionyl-CoA:succinate CoA transferase, methylmalonyl-CoA mutase family protein","4","4","1.0","1056","1479","1373.0","GCA_021342655.1-NZ_JAJTPH010000011.1-300-cds-WP_000073273.1","GCA_021534865.1-NZ_CP091038.1-4399-cds-WP_000449965.1","GCA_021697815.1-NZ_JAJPUS010000019.1-1227-cds-WP_022646097.1","GCA_021890555.1-NZ_JAKLOD010000001.1-943-cds-WP_000449941.1"
"groups_858","DNA-binding protein","2","2","1.0","432","432","432.0","GCA_021342655.1-NZ_JAJTPH010000011.1-308-cds-WP_000988707.1","","","GCA_021890555.1-NZ_JAKLOD010000001.1-935-cds-WP_113440219.1"
"groups_859","energy-coupling factor transporter transmembrane protein EcfT","2","2","1.0","708","708","708.0","GCA_021342655.1-NZ_JAJTPH010000011.1-310-cds-WP_000553238.1","","","GCA_021890555.1-NZ_JAKLOD010000001.1-933-cds-WP_000553215.1"
"groups_860","energy-coupling factor ABC transporter ATP-binding protein","2","2","1.0","678","678","678.0","GCA_021342655.1-NZ_JAJTPH010000011.1-311-cds-WP_000256973.1","","","GCA_021890555.1-NZ_JAKLOD010000001.1-932-cds-WP_000256969.1"
"groups_861","sulfate/molybdate ABC transporter ATP-binding protein","2","2","1.0","678","678","678.0","GCA_021342655.1-NZ_JAJTPH010000011.1-312-cds-WP_000956881.1","","","GCA_021890555.1-NZ_JAKLOD010000001.1-931-cds-WP_126722075.1"
"fumE","fumarase E","4","4","1.0","510","510","510.0","GCA_021342655.1-NZ_JAJTPH010000011.1-314-cds-WP_000224168.1","GCA_021534865.1-NZ_CP091038.1-4390-cds-WP_000224146.1","GCA_021697815.1-NZ_JAJPUS010000019.1-1236-cds-WP_000224131.1","GCA_021890555.1-NZ_JAKLOD010000001.1-929-cds-WP_000224138.1"
"yggP","zinc-binding dehydrogenase","4","4","1.0","1278","1278","1278.0","GCA_021342655.1-NZ_JAJTPH010000011.1-316-cds-WP_000853238.1","GCA_021534865.1-NZ_CP091038.1-4388-cds-WP_000853231.1","GCA_021697815.1-NZ_JAJPUS010000019.1-1238-cds-WP_022646100.1","GCA_021890555.1-NZ_JAKLOD010000001.1-927-cds-WP_000853221.1"
"tkt","transketolase","4","4","1.0","1992","1992","1992.0","GCA_021342655.1-NZ_JAJTPH010000011.1-320-cds-WP_000098615.1","GCA_021534865.1-NZ_CP091038.1-4385-cds-WP_000098614.1","GCA_021697815.1-NZ_JAJPUS010000019.1-1242-cds-WP_022646101.1","GCA_021890555.1-NZ_JAKLOD010000001.1-924-cds-WP_000098614.1"
"tkt_00060","transketolase","3","3","1.0","2004","2004","2004.0","GCA_021342655.1-NZ_JAJTPH010000016.1-914-cds-WP_000087313.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2780-cds-WP_000087280.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1398-cds-WP_000087297.1"
"loiP","metalloprotease LoiP","4","4","1.0","759","759","759.0","GCA_021342655.1-NZ_JAJTPH010000011.1-321-cds-WP_001296354.1","GCA_021534865.1-NZ_CP091038.1-4384-cds-WP_001326497.1","GCA_021697815.1-NZ_JAJPUS010000019.1-1243-cds-WP_001297457.1","GCA_021890555.1-NZ_JAKLOD010000001.1-923-cds-WP_000701841.1"
"yggR","type IV pilus twitching motility protein PilT","4","4","1.0","981","981","981.0","GCA_021342655.1-NZ_JAJTPH010000011.1-334-cds-WP_001296360.1","GCA_021534865.1-NZ_CP091038.1-4372-cds-WP_050487204.1","GCA_021697815.1-NZ_JAJPUS010000019.1-1256-cds-WP_001326072.1","GCA_021890555.1-NZ_JAKLOD010000001.1-910-cds-WP_001055620.1"
"yggU","DUF167 family protein YggU","4","4","1.0","291","291","291.0","GCA_021342655.1-NZ_JAJTPH010000011.1-337-cds-WP_001277229.1","GCA_021534865.1-NZ_CP091038.1-4369-cds-WP_000994920.1","GCA_021697815.1-NZ_JAJPUS010000019.1-1259-cds-WP_001277222.1","GCA_021890555.1-NZ_JAKLOD010000001.1-907-cds-WP_001277222.1"
"hemW","radical SAM family heme chaperone HemW","4","4","1.0","1137","1137","1137.0","GCA_021342655.1-NZ_JAJTPH010000011.1-339-cds-WP_000239963.1","GCA_021534865.1-NZ_CP091038.1-4367-cds-WP_000239928.1","GCA_021697815.1-NZ_JAJPUS010000019.1-1261-cds-WP_000239941.1","GCA_021890555.1-NZ_JAKLOD010000001.1-905-cds-WP_000239939.1"
"groups_870","hypothetical protein","1","1","1.0","135","135","135","GCA_021342655.1-NZ_JAJTPH010000129.1-357-cds-LXO36_RS27310","","",""
"groups_871","hypothetical protein","1","1","1.0","150","150","150","GCA_021342655.1-NZ_JAJTPH010000164.1-868-cds-LXO36_RS27505","","",""
"csqR","DeoR/GlpR family DNA-binding transcription regulator","4","4","1.0","786","789","787.0","GCA_021342655.1-NZ_JAJTPH010000012.1-376-cds-WP_000022287.1","GCA_021534865.1-NZ_CP091038.1-3335-cds-WP_000059678.1","GCA_021697815.1-NZ_JAJPUS010000021.1-2158-cds-WP_000059679.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4574-cds-WP_000059678.1"
"yihU","sulfolactaldehyde 3-reductase","4","4","1.0","879","897","892.0","GCA_021342655.1-NZ_JAJTPH010000012.1-378-cds-WP_000190782.1","GCA_021534865.1-NZ_CP091038.1-3337-cds-WP_000718901.1","GCA_021697815.1-NZ_JAJPUS010000021.1-2160-cds-WP_022646365.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4576-cds-WP_000718896.1"
"yihX","glucose-1-phosphatase","4","4","1.0","600","600","600.0","GCA_021342655.1-NZ_JAJTPH010000012.1-384-cds-WP_001296610.1","GCA_021534865.1-NZ_CP091038.1-3334-cds-WP_001308174.1","GCA_021697815.1-NZ_JAJPUS010000021.1-2157-cds-WP_001314324.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4573-cds-WP_001295269.1"
"groups_875","hypothetical protein, ribbon-helix-helix domain-containing protein","3","3","1.0","243","243","243.0","GCA_021342655.1-NZ_JAJTPH010000012.1-395-cds-WP_001068514.1","GCA_021534865.1-NZ_CP091038.1-3328-cds-WP_001086388.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-4565-cds-WP_001086388.1"
"fdoH","formate dehydrogenase O subunit beta","4","4","1.0","903","903","903.0","GCA_021342655.1-NZ_JAJTPH010000012.1-398-cds-WP_000331383.1","GCA_021534865.1-NZ_CP091038.1-3325-cds-WP_000331377.1","GCA_021697815.1-NZ_JAJPUS010000021.1-2147-cds-WP_000331377.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4562-cds-WP_000331377.1"
"fdnH","formate dehydrogenase N subunit beta","4","4","1.0","885","885","885.0","GCA_021342655.1-NZ_JAJTPH010000001.1-1571-cds-WP_001240585.1","GCA_021534865.1-NZ_CP091038.1-725-cds-WP_001240582.1","GCA_021697815.1-NZ_JAJPUS010000015.1-872-cds-WP_001240581.1","GCA_021890555.1-NZ_JAKLOD010000001.1-2462-cds-WP_001240582.1"
"fdnG","formate dehydrogenase-N subunit alpha","4","4","1.0","3051","3051","3051.0","GCA_021342655.1-NZ_JAJTPH010000012.1-399-cds-WP_077633686.1","GCA_021534865.1-NZ_CP091038.1-3324-cds-WP_077250090.1","GCA_021697815.1-NZ_JAJPUS010000021.1-2146-cds-WP_077248327.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4561-cds-WP_011310337.1"
"fdnG_00061","formate dehydrogenase-N subunit alpha","4","4","1.0","3048","3048","3048.0","GCA_021342655.1-NZ_JAJTPH010000001.1-1572-cds-WP_011478186.1","GCA_021534865.1-NZ_CP091038.1-724-cds-WP_077249623.1","GCA_021697815.1-NZ_JAJPUS010000015.1-873-cds-WP_012311994.1","GCA_021890555.1-NZ_JAKLOD010000001.1-2463-cds-WP_012817776.1"
"rhaM","L-rhamnose mutarotase","4","4","1.0","315","315","315.0","GCA_021342655.1-NZ_JAJTPH010000012.1-403-cds-WP_000619499.1","GCA_021534865.1-NZ_CP091038.1-3316-cds-WP_000619469.1","GCA_021697815.1-NZ_JAJPUS010000021.1-2138-cds-WP_000619503.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4554-cds-WP_000619503.1"
"rhaA","L-rhamnose isomerase","4","4","1.0","1260","1260","1260.0","GCA_021342655.1-NZ_JAJTPH010000012.1-405-cds-WP_001296617.1","GCA_021534865.1-NZ_CP091038.1-3314-cds-WP_000211499.1","GCA_021697815.1-NZ_JAJPUS010000021.1-2136-cds-WP_022646371.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4552-cds-WP_001325794.1"
"rhaB","rhamnulokinase","4","4","1.0","1470","1470","1470.0","GCA_021342655.1-NZ_JAJTPH010000012.1-406-cds-WP_000144100.1","GCA_021534865.1-NZ_CP091038.1-3313-cds-WP_000144111.1","GCA_021697815.1-NZ_JAJPUS010000021.1-2135-cds-WP_022646372.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4551-cds-WP_024258112.1"
"rhaS","HTH-type transcriptional activator RhaS","4","4","1.0","837","837","837.0","GCA_021342655.1-NZ_JAJTPH010000012.1-407-cds-WP_000217147.1","GCA_021534865.1-NZ_CP091038.1-3312-cds-WP_000217137.1","GCA_021697815.1-NZ_JAJPUS010000021.1-2134-cds-WP_000217153.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4550-cds-WP_000217137.1"
"rhaR","HTH-type transcriptional activator RhaR","4","4","1.0","849","939","872.0","GCA_021342655.1-NZ_JAJTPH010000012.1-408-cds-WP_001296618.1","GCA_021534865.1-NZ_CP091038.1-3311-cds-WP_001460177.1","GCA_021697815.1-NZ_JAJPUS010000021.1-2133-cds-WP_001309108.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4549-cds-WP_001309108.1"
"kdgT","2-keto-3-deoxygluconate transporter","4","4","1.0","984","984","984.0","GCA_021342655.1-NZ_JAJTPH010000012.1-411-cds-WP_001166063.1","GCA_021534865.1-NZ_CP091038.1-3308-cds-WP_001166073.1","GCA_021697815.1-NZ_JAJPUS010000021.1-2130-cds-WP_023908897.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4546-cds-WP_001166063.1"
"kdgT_00062","2-keto-3-deoxygluconate transporter","1","1","1.0","966","966","966","","","GCA_021697815.1-NZ_JAJPUS010000032.1-3158-cds-WP_001022265.1",""
"yiiM","6-N-hydroxylaminopurine resistance protein, 6-hydroxyaminopurine reductase","4","4","1.0","675","675","675.0","GCA_021342655.1-NZ_JAJTPH010000012.1-412-cds-WP_001270242.1","GCA_021534865.1-NZ_CP091038.1-3307-cds-WP_001270258.1","GCA_021697815.1-NZ_JAJPUS010000021.1-2129-cds-WP_001270277.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4545-cds-WP_001270260.1"
"cdh","CDP-diacylglycerol diphosphatase","4","4","1.0","756","756","756.0","GCA_021342655.1-NZ_JAJTPH010000012.1-419-cds-WP_001296622.1","GCA_021534865.1-NZ_CP091038.1-3300-cds-WP_015675334.1","GCA_021697815.1-NZ_JAJPUS010000021.1-2122-cds-WP_000708998.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4538-cds-WP_000708998.1"
"yiiR","DUF805 domain-containing protein","4","4","1.0","441","441","441.0","GCA_021342655.1-NZ_JAJTPH010000012.1-422-cds-WP_000155252.1","GCA_021534865.1-NZ_CP091038.1-3297-cds-WP_000155273.1","GCA_021697815.1-NZ_JAJPUS010000021.1-2119-cds-WP_000155257.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4535-cds-WP_000155272.1"
"fpr","ferredoxin--NADP(+) reductase","4","4","1.0","747","747","747.0","GCA_021342655.1-NZ_JAJTPH010000012.1-425-cds-WP_000796342.1","GCA_021534865.1-NZ_CP091038.1-3294-cds-WP_000796332.1","GCA_021697815.1-NZ_JAJPUS010000021.1-2116-cds-WP_000796322.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4532-cds-WP_000796320.1"
"cytR","DNA-binding transcriptional regulator CytR","4","4","1.0","993","1026","1018.0","GCA_021342655.1-NZ_JAJTPH010000012.1-435-cds-WP_001491429.1","GCA_021534865.1-NZ_CP091038.1-3284-cds-WP_000644904.1","GCA_021697815.1-NZ_JAJPUS010000021.1-2106-cds-WP_000644904.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4522-cds-WP_000644904.1"
"groups_892","hypothetical protein","2","2","1.0","1131","1131","1131.0","GCA_021342655.1-NZ_JAJTPH010000012.1-442-cds-WP_000105529.1","","GCA_021697815.1-NZ_JAJPUS010000025.1-2411-cds-WP_000105527.1",""
"yijO","AraC family transcriptional regulator","4","4","1.0","852","852","852.0","GCA_021342655.1-NZ_JAJTPH010000012.1-456-cds-WP_000274617.1","GCA_021534865.1-NZ_CP091038.1-3264-cds-WP_000274624.1","GCA_021697815.1-NZ_JAJPUS010000025.1-2425-cds-WP_000274639.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4500-cds-WP_000274608.1"
"argC","N-acetyl-gamma-glutamyl-phosphate reductase","4","4","1.0","1005","1005","1005.0","GCA_021342655.1-NZ_JAJTPH010000012.1-460-cds-WP_000935352.1","GCA_021534865.1-NZ_CP091038.1-3260-cds-WP_000935370.1","GCA_021697815.1-NZ_JAJPUS010000025.1-2429-cds-WP_236929849.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4496-cds-WP_000935370.1"
"btuB","TonB-dependent vitamin B12 receptor BtuB","3","3","1.0","1845","1845","1845.0","GCA_021342655.1-NZ_JAJTPH010000012.1-471-cds-WP_001296629.1","","GCA_021697815.1-NZ_JAJPUS010000025.1-2440-cds-WP_016235454.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4485-cds-WP_000591359.1"
"groups_896","hypothetical protein","1","1","1.0","282","282","282","GCA_021342655.1-NZ_JAJTPH010000136.1-484-cds-LXO36_RS27345","","",""
"groups_897","hypothetical protein","1","1","1.0","234","234","234","GCA_021342655.1-NZ_JAJTPH010000167.1-872-cds-LXO36_RS27690","","",""
"tolA","cell envelope integrity protein TolA","4","4","1.0","1251","1266","1262.0","GCA_021342655.1-NZ_JAJTPH010000013.1-496-cds-WP_226383726.1","GCA_021534865.1-NZ_CP091038.1-2015-cds-WP_000030637.1","GCA_021697815.1-NZ_JAJPUS010000001.1-1790-cds-WP_000030637.1","GCA_021890555.1-NZ_JAKLOD010000001.1-3212-cds-WP_000030637.1"
"ybgC","tol-pal system-associated acyl-CoA thioesterase","4","4","1.0","393","405","402.0","GCA_021342655.1-NZ_JAJTPH010000013.1-499-cds-WP_152768488.1","GCA_021534865.1-NZ_CP091038.1-2018-cds-WP_001098384.1","GCA_021697815.1-NZ_JAJPUS010000001.1-1793-cds-WP_001098384.1","GCA_021890555.1-NZ_JAKLOD010000001.1-3215-cds-WP_001098384.1"
"mngA","PTS 2-O-a-mannosyl-D-glycerate transporter subunit IIABC","3","3","1.0","1917","1917","1917.0","GCA_021342655.1-NZ_JAJTPH010000013.1-506-cds-WP_001531490.1","GCA_021534865.1-NZ_CP091038.1-2024-cds-WP_001459557.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-3221-cds-WP_001054869.1"
"mngR","mannosyl-D-glycerate transport/metabolism system transcriptional repressor MngR","3","3","1.0","723","723","723.0","GCA_021342655.1-NZ_JAJTPH010000013.1-507-cds-WP_000509910.1","GCA_021534865.1-NZ_CP091038.1-2025-cds-WP_000509891.1","","GCA_021890555.1-NZ_JAKLOD010000001.1-3222-cds-WP_000509899.1"
"abrB","AbrB family transcriptional regulator","4","4","1.0","1047","1047","1047.0","GCA_021342655.1-NZ_JAJTPH010000013.1-527-cds-WP_001144717.1","GCA_021534865.1-NZ_CP091038.1-2040-cds-WP_001336221.1","GCA_021697815.1-NZ_JAJPUS010000001.1-1836-cds-WP_022645371.1","GCA_021890555.1-NZ_JAKLOD010000001.1-3237-cds-WP_024258093.1"
"pxpB","5-oxoprolinase subunit PxpB","4","4","1.0","636","657","652.0","GCA_021342655.1-NZ_JAJTPH010000013.1-531-cds-WP_152770425.1","GCA_021534865.1-NZ_CP091038.1-2044-cds-WP_001188343.1","GCA_021697815.1-NZ_JAJPUS010000001.1-1840-cds-WP_022645367.1","GCA_021890555.1-NZ_JAKLOD010000001.1-3241-cds-WP_001188343.1"
"ybfA","YbfA family protein","4","4","1.0","207","207","207.0","GCA_021342655.1-NZ_JAJTPH010000013.1-536-cds-WP_000424788.1","GCA_021534865.1-NZ_CP091038.1-2057-cds-WP_000424924.1","GCA_021697815.1-NZ_JAJPUS010000001.1-1845-cds-WP_021540171.1","GCA_021890555.1-NZ_JAKLOD010000001.1-3250-cds-WP_000424924.1"
"speF","ornithine decarboxylase SpeF","4","4","1.0","2199","2199","2199.0","GCA_021342655.1-NZ_JAJTPH010000013.1-544-cds-WP_001531487.1","GCA_021534865.1-NZ_CP091038.1-2065-cds-WP_000040192.1","GCA_021697815.1-NZ_JAJPUS010000001.1-1853-cds-WP_022645360.1","GCA_021890555.1-NZ_JAKLOD010000001.1-3258-cds-WP_001297242.1"
"potE","putrescine-ornithine antiporter","4","4","1.0","1320","1320","1320.0","GCA_021342655.1-NZ_JAJTPH010000013.1-545-cds-WP_000075845.1","GCA_021534865.1-NZ_CP091038.1-2066-cds-WP_000075845.1","GCA_021697815.1-NZ_JAJPUS010000001.1-1854-cds-WP_022645359.1","GCA_021890555.1-NZ_JAKLOD010000001.1-3259-cds-WP_000075845.1"
"chiQ","ChiQ/YbfN family lipoprotein","4","4","1.0","327","327","327.0","GCA_021342655.1-NZ_JAJTPH010000013.1-553-cds-WP_000733594.1","GCA_021534865.1-NZ_CP091038.1-2077-cds-WP_000733592.1","GCA_021697815.1-NZ_JAJPUS010000001.1-1865-cds-WP_000733579.1","GCA_021890555.1-NZ_JAKLOD010000001.1-3267-cds-WP_000733592.1"
"ubiF","2-octaprenyl-3-methyl-6-methoxy-1%2C4-benzoquinol hydroxylase, 3-demethoxyubiquinol 3-hydroxylase","4","4","1.0","1176","1176","1176.0","GCA_021342655.1-NZ_JAJTPH010000013.1-579-cds-WP_000184611.1","GCA_021534865.1-NZ_CP091038.1-2093-cds-WP_000184541.1","GCA_021697815.1-NZ_JAJPUS010000001.1-1882-cds-WP_022645356.1","GCA_021890555.1-NZ_JAKLOD010000001.1-3283-cds-WP_000184573.1"
"lnt","apolipoprotein N-acyltransferase","4","4","1.0","1539","1542","1540.0","GCA_021342655.1-NZ_JAJTPH010000013.1-584-cds-WP_000853068.1","GCA_021534865.1-NZ_CP091038.1-2098-cds-WP_000853023.1","GCA_021697815.1-NZ_JAJPUS010000001.1-1887-cds-WP_022645355.1","GCA_021890555.1-NZ_JAKLOD010000001.1-3288-cds-WP_000853049.1"
"ybeU","DUF1266 domain-containing protein","4","4","1.0","708","708","708.0","GCA_021342655.1-NZ_JAJTPH010000013.1-593-cds-WP_001030943.1","GCA_021534865.1-NZ_CP091038.1-2107-cds-WP_001030942.1","GCA_021697815.1-NZ_JAJPUS010000001.1-1896-cds-WP_022645350.1","GCA_021890555.1-NZ_JAKLOD010000001.1-3297-cds-WP_001030930.1"
"cobC","adenosylcobalamin/alpha-ribazole phosphatase","4","4","1.0","612","612","612.0","GCA_021342655.1-NZ_JAJTPH010000013.1-601-cds-WP_001295864.1","GCA_021534865.1-NZ_CP091038.1-2117-cds-WP_001241872.1","GCA_021697815.1-NZ_JAJPUS010000001.1-1906-cds-WP_001241901.1","GCA_021890555.1-NZ_JAKLOD010000001.1-3307-cds-WP_001241868.1"
"groups_912","TerD family protein","2","2","1.0","576","576","576.0","GCA_021342655.1-NZ_JAJTPH010000014.1-715-cds-WP_047745001.1","GCA_021534865.1-NZ_CP091038.1-1560-cds-WP_000301248.1","",""
"fdrA_00063","acyl-CoA synthetase FdrA","3","3","1.0","1560","1560","1560.0","GCA_021342655.1-NZ_JAJTPH010000015.1-780-cds-WP_000865632.1","GCA_021534865.1-NZ_CP091038.1-3397-cds-WP_000865639.1","GCA_021697815.1-NZ_JAJPUS010000016.1-973-cds-WP_022646342.1",""
"groups_914","DKNYY family protein","2","2","1.0","156","186","171.0","GCA_021342655.1-NZ_JAJTPH010000015.1-814-cds-LXO36_RS16925","","GCA_021697815.1-NZ_JAJPUS010000016.1-940-cds-IHV48_RS20150",""
"hemD","uroporphyrinogen-III synthase","4","4","1.0","741","741","741.0","GCA_021342655.1-NZ_JAJTPH010000015.1-818-cds-WP_000026072.1","GCA_021534865.1-NZ_CP091038.1-3429-cds-WP_000026049.1","GCA_021697815.1-NZ_JAJPUS010000016.1-936-cds-WP_000026063.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4658-cds-WP_000026061.1"
"groups_916","hypothetical protein","2","2","1.0","591","600","596.0","GCA_021342655.1-NZ_JAJTPH010000015.1-821-cds-WP_001260226.1","","GCA_021697815.1-NZ_JAJPUS010000016.1-933-cds-WP_001330514.1",""
"wecB","UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)","4","4","1.0","1086","1131","1120.0","GCA_021342655.1-NZ_JAJTPH010000015.1-838-cds-WP_001395082.1","GCA_021534865.1-NZ_CP091038.1-3448-cds-WP_001340422.1","GCA_021697815.1-NZ_JAJPUS010000016.1-916-cds-WP_022646324.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4677-cds-WP_000866673.1"
"sinH","intimin-like inverse autotransporter SinH","2","2","1.0","2175","2175","2175.0","GCA_021342655.1-NZ_JAJTPH010000016.1-876-cds-WP_001531885.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2676-cds-WP_022645977.1",""
"groups_919","SinI family autotransporter-associated protein","2","2","1.0","993","993","993.0","GCA_021342655.1-NZ_JAJTPH010000016.1-877-cds-WP_000802329.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2677-cds-WP_000802332.1",""
"groups_920","DUF823 domain-containing adhesin","2","2","1.0","8076","8082","8079.0","GCA_021342655.1-NZ_JAJTPH010000016.1-878-cds-WP_000109687.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2678-cds-WP_022645976.1",""
"yfgG","DUF2633 family protein","3","3","1.0","174","192","186.0","GCA_021342655.1-NZ_JAJTPH010000016.1-884-cds-WP_001344399.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2738-cds-WP_000076001.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1354-cds-WP_000076001.1"
"groups_922","hypothetical protein","3","3","1.0","153","153","153.0","GCA_021342655.1-NZ_JAJTPH010000016.1-885-cds-WP_000017548.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2739-cds-WP_000017552.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1355-cds-WP_000017552.1"
