gene_id,sample_id,seq_id,length,gene_name,gene_product,gene_index,strand
GCA_021342655.1-NZ_JAJTPH010000004.1-4287-cds-LXO36_RS08270,GCA_021342655.1,NZ_JAJTPH010000004.1,564,gspH,type II secretion system minor pseudopilin GspH,303,+
GCA_021342655.1-NZ_JAJTPH010000004.1-4288-cds-WP_000820073.1,GCA_021342655.1,NZ_JAJTPH010000004.1,372,gspI,type II secretion system minor pseudopilin GspI,304,+
GCA_021342655.1-NZ_JAJTPH010000004.1-4289-cds-LXO36_RS08280,GCA_021342655.1,NZ_JAJTPH010000004.1,606,gspJ,type II secretion system minor pseudopilin GspJ,305,+
GCA_021342655.1-NZ_JAJTPH010000004.1-4290-cds-WP_001357646.1,GCA_021342655.1,NZ_JAJTPH010000004.1,978,gspK,type II secretion system minor pseudopilin GspK,306,+
GCA_021342655.1-NZ_JAJTPH010000004.1-4291-cds-WP_215201575.1,GCA_021342655.1,NZ_JAJTPH010000004.1,1170,gspL,type II secretion system protein GspL,307,+
GCA_021342655.1-NZ_JAJTPH010000004.1-4292-cds-WP_021522237.1,GCA_021342655.1,NZ_JAJTPH010000004.1,537,yghD,GspM family type II secretion system protein YghD,308,+
GCA_021342655.1-NZ_JAJTPH010000004.1-4293-cds-WP_049144537.1,GCA_021342655.1,NZ_JAJTPH010000004.1,777,,ABC transporter permease,309,+
GCA_021342655.1-NZ_JAJTPH010000004.1-4294-cds-WP_049144536.1,GCA_021342655.1,NZ_JAJTPH010000004.1,672,,ABC transporter ATP-binding protein,310,+
GCA_021342655.1-NZ_JAJTPH010000004.1-4295-cds-WP_233291372.1,GCA_021342655.1,NZ_JAJTPH010000004.1,297,,hypothetical protein,311,+
GCA_021342655.1-NZ_JAJTPH010000050.1-4299-cds-LXO36_RS25590,GCA_021342655.1,NZ_JAJTPH010000050.1,186,,zinc-ribbon domain-containing protein,0,-
GCA_021342655.1-NZ_JAJTPH010000050.1-4300-cds-WP_000271011.1,GCA_021342655.1,NZ_JAJTPH010000050.1,384,,putative zinc ribbon protein,1,-
GCA_021342655.1-NZ_JAJTPH010000050.1-4301-cds-WP_000221563.1,GCA_021342655.1,NZ_JAJTPH010000050.1,570,,inovirus Gp2 family protein,2,-
GCA_021342655.1-NZ_JAJTPH010000050.1-4302-cds-LXO36_RS25605,GCA_021342655.1,NZ_JAJTPH010000050.1,198,,hypothetical protein,3,+
GCA_021342655.1-NZ_JAJTPH010000050.1-4303-cds-LXO36_RS25610,GCA_021342655.1,NZ_JAJTPH010000050.1,180,hha,hemolysin expression modulator Hha,4,-
GCA_021342655.1-NZ_JAJTPH010000050.1-4304-cds-WP_001095916.1,GCA_021342655.1,NZ_JAJTPH010000050.1,207,,AlpA family transcriptional regulator,5,+
GCA_021342655.1-NZ_JAJTPH010000050.1-4305-cds-WP_001296389.1,GCA_021342655.1,NZ_JAJTPH010000050.1,573,,hypothetical protein,6,+
GCA_021342655.1-NZ_JAJTPH010000050.1-4306-cds-WP_001305029.1,GCA_021342655.1,NZ_JAJTPH010000050.1,1491,,YfjI family protein,7,-
GCA_021342655.1-NZ_JAJTPH010000050.1-4307-cds-WP_001069668.1,GCA_021342655.1,NZ_JAJTPH010000050.1,873,,GTPase family protein,8,+
GCA_021342655.1-NZ_JAJTPH010000050.1-4308-cds-WP_000820373.1,GCA_021342655.1,NZ_JAJTPH010000050.1,3123,agn43,autotransporter adhesin Ag43,9,+
GCA_021342655.1-NZ_JAJTPH010000050.1-4309-cds-LXO36_RS25640,GCA_021342655.1,NZ_JAJTPH010000050.1,1128,,hypothetical protein,10,+
GCA_021342655.1-NZ_JAJTPH010000050.1-4310-cds-WP_000581502.1,GCA_021342655.1,NZ_JAJTPH010000050.1,456,,IrmA family protein,11,+
GCA_021342655.1-NZ_JAJTPH010000050.1-4311-cds-WP_000902034.1,GCA_021342655.1,NZ_JAJTPH010000050.1,234,,DUF905 family protein,12,+
GCA_021342655.1-NZ_JAJTPH010000050.1-4312-cds-WP_001234620.1,GCA_021342655.1,NZ_JAJTPH010000050.1,819,,DUF945 domain-containing protein,13,+
GCA_021342655.1-NZ_JAJTPH010000050.1-4313-cds-WP_104468064.1,GCA_021342655.1,NZ_JAJTPH010000050.1,351,,antirestriction protein,14,+
GCA_021342655.1-NZ_JAJTPH010000051.1-4315-cds-LXO36_RS25665,GCA_021342655.1,NZ_JAJTPH010000051.1,2361,,HsdR family type I site-specific deoxyribonuclease,0,+
GCA_021342655.1-NZ_JAJTPH010000051.1-4317-cds-WP_000991832.1,GCA_021342655.1,NZ_JAJTPH010000051.1,933,,S-4TM family putative pore-forming effector,1,-
GCA_021342655.1-NZ_JAJTPH010000051.1-4318-cds-WP_000246636.1,GCA_021342655.1,NZ_JAJTPH010000051.1,996,,hypothetical protein,2,-
GCA_021342655.1-NZ_JAJTPH010000051.1-4319-cds-WP_000813634.1,GCA_021342655.1,NZ_JAJTPH010000051.1,219,ccdA,type II toxin-antitoxin system antitoxin CcdA,3,+
GCA_021342655.1-NZ_JAJTPH010000051.1-4320-cds-WP_001159868.1,GCA_021342655.1,NZ_JAJTPH010000051.1,306,ccdB,type II toxin-antitoxin system toxin CcdB,4,+
GCA_021342655.1-NZ_JAJTPH010000051.1-4321-cds-WP_000016982.1,GCA_021342655.1,NZ_JAJTPH010000051.1,807,,site-specific integrase,5,+
GCA_021342655.1-NZ_JAJTPH010000051.1-4322-cds-WP_000852146.1,GCA_021342655.1,NZ_JAJTPH010000051.1,756,repE,replication initiation protein RepE,6,+
GCA_021342655.1-NZ_JAJTPH010000051.1-4323-cds-WP_000772446.1,GCA_021342655.1,NZ_JAJTPH010000051.1,1167,sopA,plasmid-partitioning protein SopA,7,+
GCA_021342655.1-NZ_JAJTPH010000051.1-4324-cds-WP_000817036.1,GCA_021342655.1,NZ_JAJTPH010000051.1,972,,ParB/RepB/Spo0J family plasmid partition protein,8,+
GCA_021342655.1-NZ_JAJTPH010000052.1-4326-cds-WP_000107487.1,GCA_021342655.1,NZ_JAJTPH010000052.1,1014,,aldose 1-epimerase family protein,0,-
GCA_021342655.1-NZ_JAJTPH010000052.1-4327-cds-WP_000998348.1,GCA_021342655.1,NZ_JAJTPH010000052.1,1317,fucP,L-fucose:H+ symporter permease,1,-
GCA_021342655.1-NZ_JAJTPH010000052.1-4328-cds-WP_000350265.1,GCA_021342655.1,NZ_JAJTPH010000052.1,921,rbsK,ribokinase,2,-
GCA_021342655.1-NZ_JAJTPH010000052.1-4329-cds-WP_001295538.1,GCA_021342655.1,NZ_JAJTPH010000052.1,783,,DeoR family transcriptional regulator,3,+
GCA_021342655.1-NZ_JAJTPH010000052.1-4332-cds-WP_000145475.1,GCA_021342655.1,NZ_JAJTPH010000052.1,657,,TetR/AcrR family transcriptional regulator,4,-
GCA_021342655.1-NZ_JAJTPH010000052.1-4333-cds-WP_001296707.1,GCA_021342655.1,NZ_JAJTPH010000052.1,1278,,DUF2254 domain-containing protein,5,-
GCA_021342655.1-NZ_JAJTPH010000052.1-4334-cds-WP_001545177.1,GCA_021342655.1,NZ_JAJTPH010000052.1,1998,betT,choline BCCT transporter BetT,6,-
GCA_021342655.1-NZ_JAJTPH010000053.1-4340-cds-WP_226109799.1,GCA_021342655.1,NZ_JAJTPH010000053.1,327,,abortive infection family protein,0,+
GCA_021342655.1-NZ_JAJTPH010000053.1-4341-cds-LXO36_RS25775,GCA_021342655.1,NZ_JAJTPH010000053.1,972,,hypothetical protein,1,-
GCA_021342655.1-NZ_JAJTPH010000053.1-4342-cds-WP_077942108.1,GCA_021342655.1,NZ_JAJTPH010000053.1,990,,RepB family plasmid replication initiator protein,2,+
GCA_021342655.1-NZ_JAJTPH010000053.1-4343-cds-WP_001066941.1,GCA_021342655.1,NZ_JAJTPH010000053.1,741,,tyrosine-type recombinase/integrase,3,-
GCA_021342655.1-NZ_JAJTPH010000053.1-4344-cds-WP_001309252.1,GCA_021342655.1,NZ_JAJTPH010000053.1,189,,hypothetical protein,4,-
GCA_021342655.1-NZ_JAJTPH010000053.1-4345-cds-WP_001072358.1,GCA_021342655.1,NZ_JAJTPH010000053.1,1170,,hypothetical protein,5,+
GCA_021342655.1-NZ_JAJTPH010000053.1-4347-cds-WP_001322642.1,GCA_021342655.1,NZ_JAJTPH010000053.1,273,,adhesin biosynthesis transcription regulatory family protein,6,-
GCA_021342655.1-NZ_JAJTPH010000053.1-4349-cds-WP_001298664.1,GCA_021342655.1,NZ_JAJTPH010000053.1,1971,,TonB-dependent hemoglobin/transferrin/lactoferrin family receptor,7,+
GCA_021342655.1-NZ_JAJTPH010000053.1-4350-cds-WP_000977394.1,GCA_021342655.1,NZ_JAJTPH010000053.1,792,,DUF4198 domain-containing protein,8,+
GCA_021342655.1-NZ_JAJTPH010000054.1-4353-cds-WP_223175077.1,GCA_021342655.1,NZ_JAJTPH010000054.1,252,,transposase,0,+
GCA_021342655.1-NZ_JAJTPH010000054.1-4355-cds-WP_000874189.1,GCA_021342655.1,NZ_JAJTPH010000054.1,486,,hypothetical protein,1,-
GCA_021342655.1-NZ_JAJTPH010000054.1-4356-cds-WP_001267176.1,GCA_021342655.1,NZ_JAJTPH010000054.1,486,,TlpA family protein disulfide reductase,2,-
GCA_021342655.1-NZ_JAJTPH010000054.1-4357-cds-WP_000117262.1,GCA_021342655.1,NZ_JAJTPH010000054.1,696,,ABC transporter ATP-binding protein,3,-
GCA_021342655.1-NZ_JAJTPH010000054.1-4358-cds-WP_000729218.1,GCA_021342655.1,NZ_JAJTPH010000054.1,1131,,ABC transporter permease,4,-
GCA_021342655.1-NZ_JAJTPH010000054.1-4359-cds-WP_000964653.1,GCA_021342655.1,NZ_JAJTPH010000054.1,1284,,ABC transporter permease,5,-
GCA_021342655.1-NZ_JAJTPH010000054.1-4360-cds-WP_000119836.1,GCA_021342655.1,NZ_JAJTPH010000054.1,1380,,Fe-S-containing protein,6,-
GCA_021342655.1-NZ_JAJTPH010000054.1-4361-cds-WP_000178050.1,GCA_021342655.1,NZ_JAJTPH010000054.1,528,,iron transporter,7,-
GCA_021342655.1-NZ_JAJTPH010000054.1-4362-cds-WP_000118029.1,GCA_021342655.1,NZ_JAJTPH010000054.1,1887,,FTR1 family iron permease,8,-
GCA_021342655.1-NZ_JAJTPH010000054.1-4363-cds-LXO36_RS25880,GCA_021342655.1,NZ_JAJTPH010000054.1,816,,Na(+)-translocating NADH-quinone reductase subunit C,9,-
GCA_021342655.1-NZ_JAJTPH010000054.1-4364-cds-WP_000949452.1,GCA_021342655.1,NZ_JAJTPH010000054.1,507,,protein disulfide oxidoreductase,10,-
GCA_021342655.1-NZ_JAJTPH010000054.1-4365-cds-LXO36_RS25890,GCA_021342655.1,NZ_JAJTPH010000054.1,171,,DsbA family protein,11,-
GCA_021342655.1-NZ_JAJTPH010000055.1-4367-cds-WP_152770742.1,GCA_021342655.1,NZ_JAJTPH010000055.1,1041,,type VI secretion system tip protein VgrG,0,+
GCA_021342655.1-NZ_JAJTPH010000055.1-4368-cds-WP_000093702.1,GCA_021342655.1,NZ_JAJTPH010000055.1,822,,DUF4123 domain-containing protein,1,+
GCA_021342655.1-NZ_JAJTPH010000055.1-4369-cds-WP_000522562.1,GCA_021342655.1,NZ_JAJTPH010000055.1,528,,DUF3304 domain-containing protein,2,+
GCA_021342655.1-NZ_JAJTPH010000055.1-4370-cds-WP_226383734.1,GCA_021342655.1,NZ_JAJTPH010000055.1,1266,,DUF2235 domain-containing protein,3,+
GCA_021342655.1-NZ_JAJTPH010000055.1-4371-cds-WP_000354273.1,GCA_021342655.1,NZ_JAJTPH010000055.1,2514,vgrG,type VI secretion system tip protein VgrG,4,+
GCA_021342655.1-NZ_JAJTPH010000055.1-4372-cds-WP_000764086.1,GCA_021342655.1,NZ_JAJTPH010000055.1,603,,transglycosylase SLT domain-containing protein,5,+
GCA_021342655.1-NZ_JAJTPH010000055.1-4373-cds-WP_205727780.1,GCA_021342655.1,NZ_JAJTPH010000055.1,444,,hypothetical protein,6,+
GCA_021342655.1-NZ_JAJTPH010000055.1-4374-cds-WP_001145241.1,GCA_021342655.1,NZ_JAJTPH010000055.1,1215,,hypothetical protein,7,+
GCA_021342655.1-NZ_JAJTPH010000055.1-4375-cds-LXO36_RS25935,GCA_021342655.1,NZ_JAJTPH010000055.1,1572,,type VI secretion protein VasK,8,+
GCA_021342655.1-NZ_JAJTPH010000056.1-4378-cds-WP_000371882.1,GCA_021342655.1,NZ_JAJTPH010000056.1,261,,hypothetical protein,0,+
GCA_021342655.1-NZ_JAJTPH010000056.1-4379-cds-WP_000194542.1,GCA_021342655.1,NZ_JAJTPH010000056.1,510,,hypothetical protein,1,+
GCA_021342655.1-NZ_JAJTPH010000056.1-4380-cds-WP_011478083.1,GCA_021342655.1,NZ_JAJTPH010000056.1,309,,DUF6404 family protein,2,-
GCA_021342655.1-NZ_JAJTPH010000056.1-4381-cds-WP_001080730.1,GCA_021342655.1,NZ_JAJTPH010000056.1,336,,colicin 1A immunity protein,3,+
GCA_021342655.1-NZ_JAJTPH010000056.1-4383-cds-WP_001224623.1,GCA_021342655.1,NZ_JAJTPH010000056.1,876,,ChaN family lipoprotein,4,+
GCA_021342655.1-NZ_JAJTPH010000056.1-4384-cds-WP_000981091.1,GCA_021342655.1,NZ_JAJTPH010000056.1,777,,energy transducer TonB,5,+
GCA_021342655.1-NZ_JAJTPH010000056.1-4385-cds-WP_001100763.1,GCA_021342655.1,NZ_JAJTPH010000056.1,2262,,TonB-dependent receptor,6,+
GCA_021342655.1-NZ_JAJTPH010000056.1-4386-cds-WP_001020413.1,GCA_021342655.1,NZ_JAJTPH010000056.1,1176,senB,enterotoxin production-related protein TieB,7,+
GCA_021342655.1-NZ_JAJTPH010000056.1-4387-cds-LXO36_RS25990,GCA_021342655.1,NZ_JAJTPH010000056.1,306,,IS91 family transposase,8,-
GCA_021342655.1-NZ_JAJTPH010000057.1-4391-cds-WP_000147344.1,GCA_021342655.1,NZ_JAJTPH010000057.1,2637,tssH,type VI secretion system ATPase TssH,0,-
GCA_021342655.1-NZ_JAJTPH010000057.1-4392-cds-WP_000997068.1,GCA_021342655.1,NZ_JAJTPH010000057.1,492,,Hcp family type VI secretion system effector,1,-
GCA_021342655.1-NZ_JAJTPH010000057.1-4393-cds-WP_226383733.1,GCA_021342655.1,NZ_JAJTPH010000057.1,1641,,OmpA family protein,2,-
GCA_021342655.1-NZ_JAJTPH010000057.1-4394-cds-WP_000712316.1,GCA_021342655.1,NZ_JAJTPH010000057.1,666,tssL,type VI secretion system protein TssL%2C short form,3,-
GCA_021342655.1-NZ_JAJTPH010000057.1-4395-cds-WP_000690901.1,GCA_021342655.1,NZ_JAJTPH010000057.1,1338,tssK,type VI secretion system baseplate subunit TssK,4,-
GCA_021342655.1-NZ_JAJTPH010000057.1-4396-cds-WP_001296335.1,GCA_021342655.1,NZ_JAJTPH010000057.1,1539,tssC,type VI secretion system contractile sheath large subunit,5,-
GCA_021342655.1-NZ_JAJTPH010000057.1-4397-cds-WP_001296334.1,GCA_021342655.1,NZ_JAJTPH010000057.1,501,tssB,type VI secretion system contractile sheath small subunit,6,-
GCA_021342655.1-NZ_JAJTPH010000058.1-4400-cds-LXO36_RS26045,GCA_021342655.1,NZ_JAJTPH010000058.1,156,,ATP-binding protein,0,+
GCA_021342655.1-NZ_JAJTPH010000058.1-4401-cds-WP_000263651.1,GCA_021342655.1,NZ_JAJTPH010000058.1,1173,,hypothetical protein,1,+
GCA_021342655.1-NZ_JAJTPH010000058.1-4402-cds-WP_001163787.1,GCA_021342655.1,NZ_JAJTPH010000058.1,258,,hypothetical protein,2,-
GCA_021342655.1-NZ_JAJTPH010000058.1-4403-cds-WP_000016207.1,GCA_021342655.1,NZ_JAJTPH010000058.1,768,,ABC transporter ATP-binding protein,3,-
GCA_021342655.1-NZ_JAJTPH010000058.1-4404-cds-WP_000217077.1,GCA_021342655.1,NZ_JAJTPH010000058.1,1059,,iron ABC transporter permease,4,-
GCA_021342655.1-NZ_JAJTPH010000058.1-4405-cds-WP_000778018.1,GCA_021342655.1,NZ_JAJTPH010000058.1,990,,ABC transporter substrate-binding protein,5,-
GCA_021342655.1-NZ_JAJTPH010000058.1-4406-cds-WP_000856948.1,GCA_021342655.1,NZ_JAJTPH010000058.1,2166,,TonB-dependent receptor,6,-
GCA_021342655.1-NZ_JAJTPH010000058.1-4407-cds-WP_001069649.1,GCA_021342655.1,NZ_JAJTPH010000058.1,435,,hypothetical protein,7,+
GCA_021342655.1-NZ_JAJTPH010000058.1-4408-cds-LXO36_RS26085,GCA_021342655.1,NZ_JAJTPH010000058.1,513,,dynamin family protein,8,+
GCA_021342655.1-NZ_JAJTPH010000059.1-4410-cds-WP_014342102.1,GCA_021342655.1,NZ_JAJTPH010000059.1,1032,,HAMP domain-containing methyl-accepting chemotaxis protein,0,+
GCA_021342655.1-NZ_JAJTPH010000059.1-4411-cds-WP_059339632.1,GCA_021342655.1,NZ_JAJTPH010000059.1,246,,dihydropteroate synthase,1,-
GCA_021342655.1-NZ_JAJTPH010000059.1-4412-cds-WP_000679427.1,GCA_021342655.1,NZ_JAJTPH010000059.1,348,,quaternary ammonium compound efflux SMR transporter QacE delta 1,2,-
GCA_021342655.1-NZ_JAJTPH010000059.1-4413-cds-LXO36_RS26105,GCA_021342655.1,NZ_JAJTPH010000059.1,1308,,CmlA family chloramphenicol efflux MFS transporter,3,-
GCA_021342655.1-NZ_JAJTPH010000059.1-4414-cds-WP_000946490.1,GCA_021342655.1,NZ_JAJTPH010000059.1,633,aac_6___Ib,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,4,-
GCA_021342655.1-NZ_JAJTPH010000059.1-4415-cds-WP_000845048.1,GCA_021342655.1,NZ_JAJTPH010000059.1,1014,intI1,class 1 integron integrase IntI1,5,+
GCA_021342655.1-NZ_JAJTPH010000059.1-4416-cds-WP_000454193.1,GCA_021342655.1,NZ_JAJTPH010000059.1,351,,DUF3330 domain-containing protein,6,+
GCA_021342655.1-NZ_JAJTPH010000059.1-4418-cds-WP_001389365.1,GCA_021342655.1,NZ_JAJTPH010000059.1,765,,IS6-like element IS6100 family transposase,7,+
GCA_021342655.1-NZ_JAJTPH010000059.1-4419-cds-WP_001137892.1,GCA_021342655.1,NZ_JAJTPH010000059.1,585,mphR_A_,macrolide-binding transcriptional repressor MphR(A),8,-
GCA_021342655.1-NZ_JAJTPH010000059.1-4420-cds-WP_000004159.1,GCA_021342655.1,NZ_JAJTPH010000059.1,1239,mrx_A_,macrolide resistance MFS transporter Mrx(A),9,-
GCA_021342655.1-NZ_JAJTPH010000059.1-4421-cds-WP_000219391.1,GCA_021342655.1,NZ_JAJTPH010000059.1,906,,Mph(A) family macrolide 2'-phosphotransferase,10,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4423-cds-LXO36_RS08320,GCA_021342655.1,NZ_JAJTPH010000005.1,573,gmhB,D-glycero-beta-D-manno-heptose 1%2C7-bisphosphate 7-phosphatase,0,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4424-cds-WP_000593994.1,GCA_021342655.1,NZ_JAJTPH010000005.1,1032,metN,methionine ABC transporter ATP-binding protein MetN,1,+
GCA_021342655.1-NZ_JAJTPH010000005.1-4425-cds-WP_001294595.1,GCA_021342655.1,NZ_JAJTPH010000005.1,654,metI,methionine ABC transporter permease MetI,2,+
GCA_021342655.1-NZ_JAJTPH010000005.1-4426-cds-WP_000874226.1,GCA_021342655.1,NZ_JAJTPH010000005.1,816,metQ,methionine ABC transporter substrate-binding lipoprotein MetQ,3,+
GCA_021342655.1-NZ_JAJTPH010000005.1-4427-cds-WP_001202329.1,GCA_021342655.1,NZ_JAJTPH010000005.1,405,rcsF,Rcs stress response system protein RcsF,4,+
GCA_021342655.1-NZ_JAJTPH010000005.1-4428-cds-WP_000094006.1,GCA_021342655.1,NZ_JAJTPH010000005.1,708,tsaA,tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO,5,+
GCA_021342655.1-NZ_JAJTPH010000005.1-4429-cds-WP_001260690.1,GCA_021342655.1,NZ_JAJTPH010000005.1,1719,proS,proline--tRNA ligase,6,+
GCA_021342655.1-NZ_JAJTPH010000005.1-4430-cds-WP_000360458.1,GCA_021342655.1,NZ_JAJTPH010000005.1,825,yaeF,YaeF family permuted papain-like enzyme,7,+
GCA_021342655.1-NZ_JAJTPH010000005.1-4431-cds-WP_000239170.1,GCA_021342655.1,NZ_JAJTPH010000005.1,711,nlpE,envelope stress response activation lipoprotein NlpE,8,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4432-cds-WP_000635528.1,GCA_021342655.1,NZ_JAJTPH010000005.1,423,arfB,alternative ribosome rescue aminoacyl-tRNA hydrolase ArfB,9,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4433-cds-WP_001185283.1,GCA_021342655.1,NZ_JAJTPH010000005.1,546,yaeQ,YaeQ family protein,10,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4434-cds-WP_152770499.1,GCA_021342655.1,NZ_JAJTPH010000005.1,216,yaeP,YaeP family protein,11,+
GCA_021342655.1-NZ_JAJTPH010000005.1-4435-cds-WP_000062311.1,GCA_021342655.1,NZ_JAJTPH010000005.1,261,rof,Rho-binding antiterminator,12,+
GCA_021342655.1-NZ_JAJTPH010000005.1-4436-cds-WP_000176523.1,GCA_021342655.1,NZ_JAJTPH010000005.1,1314,tilS,tRNA lysidine(34) synthetase TilS,13,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4437-cds-WP_000901082.1,GCA_021342655.1,NZ_JAJTPH010000005.1,390,yaeR,VOC family protein,14,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4438-cds-WP_001021005.1,GCA_021342655.1,NZ_JAJTPH010000005.1,2142,ldcC,lysine decarboxylase LdcC,15,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4439-cds-WP_000055741.1,GCA_021342655.1,NZ_JAJTPH010000005.1,960,accA,acetyl-CoA carboxylase carboxyl transferase subunit alpha,16,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4440-cds-WP_001294788.1,GCA_021342655.1,NZ_JAJTPH010000005.1,3483,dnaE,DNA polymerase III subunit alpha,17,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4441-cds-WP_000569423.1,GCA_021342655.1,NZ_JAJTPH010000005.1,597,rnhB,ribonuclease HII,18,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4442-cds-WP_000139678.1,GCA_021342655.1,NZ_JAJTPH010000005.1,1149,lpxB,lipid-A-disaccharide synthase,19,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4443-cds-LXO36_RS08420,GCA_021342655.1,NZ_JAJTPH010000005.1,789,lpxA,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase,20,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4444-cds-WP_000210739.1,GCA_021342655.1,NZ_JAJTPH010000005.1,456,fabZ,3-hydroxyacyl-ACP dehydratase FabZ,21,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4445-cds-WP_001139282.1,GCA_021342655.1,NZ_JAJTPH010000005.1,1026,lpxD,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,22,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4446-cds-LXO36_RS08435,GCA_021342655.1,NZ_JAJTPH010000005.1,486,skp,molecular chaperone Skp,23,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4447-cds-WP_001240896.1,GCA_021342655.1,NZ_JAJTPH010000005.1,2433,bamA,outer membrane protein assembly factor BamA,24,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4448-cds-WP_001295561.1,GCA_021342655.1,NZ_JAJTPH010000005.1,1353,rseP,sigma E protease regulator RseP,25,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4449-cds-WP_000922441.1,GCA_021342655.1,NZ_JAJTPH010000005.1,858,cdsA,phosphatidate cytidylyltransferase,26,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4450-cds-WP_001295562.1,GCA_021342655.1,NZ_JAJTPH010000005.1,759,ispU,(2E%2C6E)-farnesyl-diphosphate-specific ditrans%2Cpolycis-undecaprenyl-diphosphate synthase,27,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4451-cds-WP_000811939.1,GCA_021342655.1,NZ_JAJTPH010000005.1,1197,ispC,1-deoxy-D-xylulose-5-phosphate reductoisomerase,28,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4452-cds-WP_001379469.1,GCA_021342655.1,NZ_JAJTPH010000005.1,522,frr,ribosome recycling factor,29,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4453-cds-WP_000224573.1,GCA_021342655.1,NZ_JAJTPH010000005.1,726,pyrH,UMP kinase,30,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4454-cds-WP_000818114.1,GCA_021342655.1,NZ_JAJTPH010000005.1,852,tsf,translation elongation factor Ts,31,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4455-cds-WP_000246882.1,GCA_021342655.1,NZ_JAJTPH010000005.1,726,rpsB,30S ribosomal protein S2,32,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4456-cds-WP_001018194.1,GCA_021342655.1,NZ_JAJTPH010000005.1,795,map,type I methionyl aminopeptidase,33,+
GCA_021342655.1-NZ_JAJTPH010000005.1-4457-cds-WP_001094534.1,GCA_021342655.1,NZ_JAJTPH010000005.1,2673,glnD,bifunctional uridylyltransferase/uridylyl-removing protein GlnD,34,+
GCA_021342655.1-NZ_JAJTPH010000005.1-4458-cds-WP_001186656.1,GCA_021342655.1,NZ_JAJTPH010000005.1,825,dapD,2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate N-succinyltransferase,35,+
GCA_021342655.1-NZ_JAJTPH010000005.1-4459-cds-WP_000272188.1,GCA_021342655.1,NZ_JAJTPH010000005.1,387,yaeH,DUF3461 family protein,36,+
GCA_021342655.1-NZ_JAJTPH010000005.1-4460-cds-WP_000929439.1,GCA_021342655.1,NZ_JAJTPH010000005.1,1158,cdaR,DNA-binding transcriptional regulator CdaR,37,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4461-cds-WP_000753937.1,GCA_021342655.1,NZ_JAJTPH010000005.1,1425,degP,serine endoprotease DegP,38,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4462-cds-WP_000057107.1,GCA_021342655.1,NZ_JAJTPH010000005.1,1518,dgt,dGTPase,39,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4463-cds-WP_000689844.1,GCA_021342655.1,NZ_JAJTPH010000005.1,699,mtnN,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,40,+
GCA_021342655.1-NZ_JAJTPH010000005.1-4464-cds-WP_001129927.1,GCA_021342655.1,NZ_JAJTPH010000005.1,801,btuF,vitamin B12 ABC transporter substrate-binding protein BtuF,41,+
GCA_021342655.1-NZ_JAJTPH010000005.1-4465-cds-WP_000964221.1,GCA_021342655.1,NZ_JAJTPH010000005.1,624,yadS,TRIC cation channel family protein,42,+
GCA_021342655.1-NZ_JAJTPH010000005.1-4466-cds-WP_001295564.1,GCA_021342655.1,NZ_JAJTPH010000005.1,345,erpA,iron-sulfur cluster insertion protein ErpA,43,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4468-cds-WP_000845408.1,GCA_021342655.1,NZ_JAJTPH010000005.1,1422,clcA,H(+)/Cl(-) exchange transporter ClcA,44,-
GCA_021342655.1-NZ_JAJTPH010000005.1-4470-cds-WP_000045296.1,GCA_021342655.1,NZ_JAJTPH010000005.1,1281,hemL,glutamate-1-semialdehyde 2%2C1-aminomutase,45,+
